Study_Hours,Sleep_Hours,Attendance,Assignment,Result
1,10,50,2,43.4
7,4,100,5,70.5
10,4,84,3,73
8,5,99,3,69.75
5,9,79,9,66.45
5,4,85,20,77.25
8,7,91,19,95.15
6,10,57,14,72.75
9,5,89,17,94.55
3,5,88,1,47
5,6,72,14,70.5
2,6,98,12,69.7
4,7,97,11,72.65
9,10,63,2,71.95
10,10,100,20,100
9,4,80,14,79.3
10,6,62,18,84.3
6,9,85,11,73.45
10,9,52,10,82.7
8,10,99,7,83.05
7,4,65,7,66.65
9,6,92,4,79.5
3,9,69,14,60.95
5,4,62,16,66.4
6,7,53,14,68.85
5,10,75,4,66.55
7,8,75,6,65.95
2,5,58,4,39.6
4,8,81,5,57.35
1,10,61,3,44.45
7,10,74,5,68.4
10,9,100,14,98.3
6,10,65,15,76.75
10,8,60,4,69.8
3,5,82,19,68.5
8,10,75,14,86.05
5,9,92,5,67.2
1,10,95,4,58.55
10,7,76,0,73.1
1,8,100,17,75.9
10,9,99,15,99.15
4,10,86,17,80.5
10,6,65,7,76.15
6,8,54,6,59.1
2,8,93,6,54.75
6,5,77,19,74.25
9,7,57,9,70.75
7,4,97,6,67.65
6,9,61,17,79.25
6,5,79,3,58.75
3,7,59,6,51.85
9,8,66,17,86
1,9,93,15,70.55
7,7,73,4,66.35
8,5,69,5,67.65
2,7,64,5,41.9
5,8,52,2,50.1
10,7,68,1,68.5
5,5,71,1,55.05
10,5,84,5,74.9
9,6,81,8,80.45
5,9,85,9,67.55
6,10,94,9,84.7
3,6,54,17,56.8
4,6,82,7,57.1
3,10,76,16,67.3
1,8,92,8,56.3
10,8,87,15,94.45
1,4,61,19,54.65
3,10,94,10,69.4
7,4,59,18,69.75
8,7,94,10,87.4
10,10,68,17,91.2
3,8,66,20,70.6
9,10,100,9,91.3
8,6,99,4,77.45
8,9,77,4,73.25
4,5,59,7,47.55
9,10,94,19,100
5,6,83,16,74.75
10,9,98,3,89.4
2,7,78,20,68.8
6,10,94,17,87.3
7,5,58,3,57.9
3,6,62,13,55.8
6,5,91,5,61.35
2,7,89,7,59.05
7,6,100,0,72.5
1,6,81,3,39.45
9,5,68,10,70.8
2,4,87,13,62.05
8,7,58,19,77.6
5,10,55,13,70.35
9,4,58,14,76.6
2,5,73,6,52.25
3,5,97,6,54.15
1,4,70,5,43
9,4,85,9,79.05
4,5,60,3,42.1
5,7,72,7,59.6
5,5,99,15,77.65
4,4,60,10,50
7,5,64,6,66.6
10,8,72,10,81.2
1,7,64,2,34.8
9,8,85,14,88.05
8,10,53,20,82.55
6,4,63,13,61.65
4,10,97,6,65.15
10,8,58,14,82.1
3,4,65,5,40.25
6,5,71,5,57.35
4,4,78,8,60.9
6,8,81,9,75.15
2,4,85,8,54.35
9,5,87,0,73.45
6,9,98,13,82.4
6,10,96,7,80
9,9,81,5,84.35
2,5,95,6,57.95
7,10,77,4,66.25
1,10,65,13,56.85
5,10,94,1,68.6
10,10,80,6,82.2
8,5,71,13,73.95
4,10,52,14,67
1,5,72,0,36.2
10,7,57,13,86.05
9,8,82,11,84.4
6,6,72,7,65.6
3,9,70,3,56.1
9,7,85,4,78.55
5,6,95,11,71.95
6,9,87,4,70.75
2,10,78,3,52.9
7,10,60,10,73.5
4,7,62,18,70.8
6,6,69,17,79.55
7,5,72,19,82
10,6,81,11,90.55
3,9,83,9,59.85
1,4,89,10,47.65
1,4,86,18,60.2
3,10,91,9,70.15
7,8,89,16,90.85
2,6,85,12,55.15
4,8,64,2,48.8
3,9,83,18,79.65
9,5,57,18,77.55
8,10,92,5,78.2
10,10,51,14,80.65
2,6,52,11,52.4
8,4,73,18,77.15
3,8,74,4,52.2
6,8,98,18,86.9
7,4,99,0,67.15
3,10,63,18,74.15
1,10,52,8,48.3
9,4,66,3,66.2
9,8,71,16,82.55
7,6,64,1,57.1
8,9,63,14,84.35
9,4,91,9,81.15
7,4,94,9,78.2
7,5,83,1,58.25
6,7,71,0,51.35
1,6,100,19,74.3
5,5,89,4,59.95
2,5,62,13,47.8
6,10,54,2,62.3
10,4,50,16,77.7
3,9,82,0,48.7
8,8,69,3,72.75
7,8,90,20,93
5,9,66,17,72.5
6,10,83,4,67.85
8,6,70,16,76.7
1,7,63,20,65.05
9,9,87,20,100
4,6,68,3,45.4
6,10,73,7,67.95
4,6,77,8,54.55
7,7,89,13,86.75
3,10,77,17,71.85
4,6,55,8,56.85
5,10,81,6,67.05
8,8,85,4,72.55
7,5,75,3,56.85
7,7,75,19,89.05
2,8,65,9,48.55
9,10,69,3,75.25
3,5,57,10,45.95
10,7,70,14,82.8
10,8,98,12,99.7
1,5,91,18,68.45
5,4,57,14,59.25
3,4,63,14,56.35
10,5,96,7,80.5
10,8,73,0,77.55
9,7,87,10,85.45
4,5,72,9,53.5
6,8,54,19,71.7
1,9,89,18,65.75
10,8,85,1,80.95
2,7,83,19,64.35
3,9,99,0,57.65
2,8,78,13,56.9
5,8,86,5,67.6
7,6,99,8,79.75
5,9,73,17,74.95
10,9,75,2,72.15
1,4,57,10,41.45
10,10,94,14,99.7
9,9,57,3,72.55
6,4,61,16,71.55
6,9,91,12,84.75
1,7,94,11,64.1
2,4,60,17,52.4
4,4,57,4,47.75
1,7,53,20,61.55
10,9,79,6,79.35
10,5,83,16,88.75
3,7,70,20,69.5
5,4,50,5,43
10,5,83,7,74.95
8,10,59,20,91.65
10,4,99,7,86.05
1,4,94,11,50.6
3,4,53,14,50.85
8,7,99,17,96.55
7,10,100,17,96.9
6,8,89,0,61.15
4,6,59,10,58.65
1,7,96,6,52.8
7,4,50,11,59.2
6,8,88,7,71.2
8,6,57,19,75.75
9,4,58,7,70.2
5,7,64,8,61
8,5,92,10,76.7
3,8,84,18,75.5
10,4,76,2,66
10,6,93,14,95.35
2,9,80,20,69.5
10,10,93,6,88.75
3,8,89,13,70.25
2,10,86,18,72.7
1,7,65,17,52.15
1,9,94,15,70.9
10,9,85,4,81.05
6,8,74,20,84.9
5,8,56,15,70.1
8,5,66,16,75.8
5,10,70,15,80
3,10,58,13,65.4
3,8,54,12,53.8
6,4,81,9,71.15
10,5,54,13,77
2,4,98,13,65.9
1,5,81,6,48.55
9,7,62,16,84.9
7,7,71,11,68.05
9,4,60,17,80.9
10,5,63,14,80.35
1,7,90,11,54.7
4,5,91,16,68.55
8,5,82,19,91
1,5,63,3,37.65
5,6,85,13,69.85
2,8,96,19,78.4
10,4,75,1,69.45
9,6,70,10,77
1,10,84,12,64.3
